stage,mode,optimize,smooth,angle_step,smoothing,sensitivity,fps,scenario,seed,first_arrival_ms,settle_ms,rms_error_deg,overshoot_yaw_deg,overshoot_pitch_deg,max_yaw_speed_deg_s,max_pitch_speed_deg_s,max_yaw_acceleration_deg_s2,max_pitch_acceleration_deg_s2,max_yaw_jerk_deg_s3,max_pitch_jerk_deg_s3,p95_yaw_acceleration_deg_s2,p95_pitch_acceleration_deg_s2
packet,Lock,false,0.58,90,0.00,0.50,60,reverse,20260916,-1.000,-1.000,27.992839,-1.000000,-1.000000,960.000000,408.000031,13500.000000,1980.000305,366000.000000,50400.024414,10260.000610,1860.000229
packet,Lock,false,0.58,90,0.00,0.50,60,reverse,20260917,-1.000,-1.000,28.113628,-1.000000,-1.000000,960.000000,396.000023,13500.000000,1920.001221,375599.975586,68400.024414,10860.000610,1859.999847
packet,Lock,false,0.58,90,0.00,0.50,60,reverse,20260918,-1.000,-1.000,28.535765,-1.000000,-1.000000,960.000000,417.000008,13500.000000,2280.000114,367200.012207,80399.993896,10140.002441,1860.000610
packet,Lock,false,0.58,90,0.00,0.50,60,reverse,20260919,-1.000,-1.000,28.702947,-1.000000,-1.000000,960.000000,411.000023,13500.000000,1919.999695,376799.987793,58800.003052,10200.000000,1800.000000
packet,Lock,false,0.58,90,0.00,0.50,60,reverse,20260920,-1.000,-1.000,29.002603,-1.000000,-1.000000,960.000000,426.000023,13500.000000,1859.999847,384000.000000,71999.984741,8939.999390,1680.001068
packet,Lock,false,0.58,90,0.00,0.50,60,reverse,20260921,-1.000,-1.000,28.301829,-1.000000,-1.000000,960.000000,426.000023,13500.000000,1920.000458,372000.000000,66000.015259,10380.001831,1800.000763
packet,Lock,false,0.58,90,0.00,0.50,60,reverse,20260922,-1.000,-1.000,28.548875,-1.000000,-1.000000,960.000000,423.000031,13500.000000,2100.000000,363599.975586,72000.015259,10140.002441,1920.000458
packet,Lock,false,0.58,90,0.00,0.50,60,moving,20260915,-1.000,-1.000,0.062531,-1.000000,-1.000000,144.000006,60.000005,2880.000114,1200.000000,58800.006866,25199.996948,360.000610,120.000458
packet,Lock,false,0.58,90,0.00,0.50,60,moving,20260916,-1.000,-1.000,0.062531,-1.000000,-1.000000,144.000006,60.000005,2880.000114,1200.000000,58800.006866,25199.996948,360.000610,120.000458
packet,Lock,false,0.58,90,0.00,0.50,60,moving,20260917,-1.000,-1.000,0.062531,-1.000000,-1.000000,144.000006,60.000005,2880.000114,1200.000000,58800.006866,25199.996948,360.000610,120.000458
packet,Lock,false,0.58,90,0.00,0.50,60,moving,20260918,-1.000,-1.000,0.062531,-1.000000,-1.000000,144.000006,60.000005,2880.000114,1200.000000,58800.006866,25199.996948,360.000610,120.000458
packet,Lock,false,0.58,90,0.00,0.50,60,moving,20260919,-1.000,-1.000,0.062531,-1.000000,-1.000000,144.000006,60.000005,2880.000114,1200.000000,58800.006866,25199.996948,360.000610,120.000458
packet,Lock,false,0.58,90,0.00,0.50,60,moving,20260920,-1.000,-1.000,0.062531,-1.000000,-1.000000,144.000006,60.000005,2880.000114,1200.000000,58800.006866,25199.996948,360.000610,120.000458
packet,Lock,false,0.58,90,0.00,0.50,60,moving,20260921,-1.000,-1.000,0.062531,-1.000000,-1.000000,144.000006,60.000005,2880.000114,1200.000000,58800.006866,25199.996948,360.000610,120.000458
packet,Lock,false,0.58,90,0.00,0.50,60,moving,20260922,-1.000,-1.000,0.062531,-1.000000,-1.000000,144.000006,60.000005,2880.000114,1200.000000,58800.006866,25199.996948,360.000610,120.000458
packet,Lock,false,0.58,90,0.00,0.50,60,wrap,20260915,50.000,50.000,0.049988,0.000000,0.000000,38.999939,0.000000,779.998779,0.000000,31199.951172,0.000000,0.000000,0.000000
packet,Lock,false,0.58,90,0.00,0.50,60,wrap,20260916,50.000,50.000,0.049988,0.000000,0.000000,38.999939,0.000000,779.998779,0.000000,31199.951172,0.000000,0.000000,0.000000
packet,Lock,false,0.58,90,0.00,0.50,60,wrap,20260917,50.000,50.000,0.049988,0.000000,0.000000,38.999939,0.000000,779.998779,0.000000,31199.951172,0.000000,0.000000,0.000000
packet,Lock,false,0.58,90,0.00,0.50,60,wrap,20260918,50.000,50.000,0.049988,0.000000,0.000000,38.999939,0.000000,779.998779,0.000000,31199.951172,0.000000,0.000000,0.000000
packet,Lock,false,0.58,90,0.00,0.50,60,wrap,20260919,50.000,50.000,0.049988,0.000000,0.000000,38.999939,0.000000,779.998779,0.000000,31199.951172,0.000000,0.000000,0.000000
packet,Lock,false,0.58,90,0.00,0.50,60,wrap,20260920,50.000,50.000,0.049988,0.000000,0.000000,38.999939,0.000000,779.998779,0.000000,31199.951172,0.000000,0.000000,0.000000
packet,Lock,false,0.58,90,0.00,0.50,60,wrap,20260921,50.000,50.000,0.049988,0.000000,0.000000,38.999939,0.000000,779.998779,0.000000,31199.951172,0.000000,0.000000,0.000000
packet,Lock,false,0.58,90,0.00,0.50,60,wrap,20260922,50.000,50.000,0.049988,0.000000,0.000000,38.999939,0.000000,779.998779,0.000000,31199.951172,0.000000,0.000000,0.000000
packet,Lock,false,0.58,90,0.00,0.50,60,overlap,20260915,200.000,200.000,16.947499,0.199997,0.000000,960.000000,0.000000,13500.000000,0.000000,270000.000000,0.000000,119.995117,0.000000
packet,Lock,false,0.58,90,0.00,0.50,60,overlap,20260916,200.000,200.000,16.947817,0.949997,0.000000,960.000000,0.000000,13500.000000,0.000000,270000.000000,0.000000,719.995117,0.000000
packet,Lock,false,0.58,90,0.00,0.50,60,overlap,20260917,200.000,300.000,16.948060,1.250000,0.000000,960.000000,0.000000,13500.000000,0.000000,270000.000000,0.000000,959.997559,0.000000
packet,Lock,false,0.58,90,0.00,0.50,60,overlap,20260918,200.000,300.000,16.948746,1.850006,0.000000,960.000000,0.000000,13500.000000,0.000000,270000.000000,0.000000,1440.002441,0.000000
packet,Lock,false,0.58,90,0.00,0.50,60,overlap,20260919,200.000,300.000,16.949189,2.150009,0.000000,960.000000,0.000000,13500.000000,0.000000,270000.000000,0.000000,1680.004883,0.000000
packet,Lock,false,0.58,90,0.00,0.50,60,overlap,20260920,200.000,200.000,16.947485,0.050003,0.000000,960.000000,0.000000,13500.000000,0.000000,270000.000000,0.000000,0.000000,0.000000
packet,Lock,false,0.58,90,0.00,0.50,60,overlap,20260921,200.000,300.000,16.948550,1.699997,0.000000,960.000000,0.000000,13500.000000,0.000000,270000.000000,0.000000,1319.995117,0.000000
packet,Lock,false,0.58,90,0.00,0.50,60,overlap,20260922,200.000,200.000,16.947485,0.050003,0.000000,960.000000,0.000000,13500.000000,0.000000,270000.000000,0.000000,0.000000,0.000000
frame+packet,Lock,false,0.05,90,0.00,0.50,60,yaw90,20260915,150.000,250.000,6.553215,0.000000,0.000000,855.000000,0.000000,13260.000610,0.000000,310799.987793,0.000000,1019.998169,0.000000
frame+packet,Lock,false,0.05,90,0.00,0.50,60,yaw90,20260916,250.000,250.000,6.554245,0.000000,0.000000,855.000000,0.000000,13260.000610,0.000000,315599.975586,0.000000,779.998779,0.000000
frame+packet,Lock,false,0.05,90,0.00,0.50,60,yaw90,20260917,250.000,250.000,6.557698,0.000000,0.000000,855.000000,0.000000,13260.000610,0.000000,324000.000000,0.000000,359.997559,0.000000
frame+packet,Lock,false,0.05,90,0.00,0.50,60,yaw90,20260918,250.000,250.000,6.554609,0.000000,0.000000,855.000000,0.000000,13260.000610,0.000000,316799.987793,0.000000,719.998169,0.000000
frame+packet,Lock,false,0.05,90,0.00,0.50,60,yaw90,20260919,250.000,250.000,6.559070,0.000000,0.000000,855.000000,0.000000,13260.000610,0.000000,326399.963379,0.000000,300.000000,0.000000
frame+packet,Lock,false,0.05,90,0.00,0.50,60,yaw90,20260920,250.000,250.000,6.562328,0.000000,0.000000,855.000000,0.000000,13260.000610,0.000000,331199.951172,0.000000,300.000000,0.000000
frame+packet,Lock,false,0.05,90,0.00,0.50,60,yaw90,20260921,250.000,250.000,6.555961,0.000000,0.000000,855.000000,0.000000,13260.000610,0.000000,320399.963379,0.000000,539.999390,0.000000
frame+packet,Lock,false,0.05,90,0.00,0.50,60,yaw90,20260922,150.000,250.000,6.553644,0.000000,0.000000,855.000000,0.000000,13260.000610,0.000000,313199.951172,0.000000,900.000000,0.000000
frame+packet,Lock,false,0.05,90,0.00,0.50,60,pitch60,20260915,500.000,600.000,9.258050,0.000000,9.599998,0.000000,348.000031,0.000000,1860.000610,0.000000,68400.009155,0.000000,1740.000153
frame+packet,Lock,false,0.05,90,0.00,0.50,60,pitch60,20260916,500.000,650.000,9.408854,0.000000,10.200005,0.000000,345.000000,0.000000,1860.000610,0.000000,67199.981689,0.000000,1680.000114
frame+packet,Lock,false,0.05,90,0.00,0.50,60,pitch60,20260917,500.000,600.000,9.222195,0.000000,9.300003,0.000000,345.000000,0.000000,1860.000610,0.000000,66000.000000,0.000000,1739.999390
frame+packet,Lock,false,0.05,90,0.00,0.50,60,pitch60,20260918,250.000,600.000,8.876354,0.000000,10.650002,0.000000,326.999969,0.000000,2100.000000,0.000000,43199.981689,0.000000,1680.001831
frame+packet,Lock,false,0.05,90,0.00,0.50,60,pitch60,20260919,500.000,500.000,9.454656,0.000000,8.400002,0.000000,354.000015,0.000000,1920.000458,0.000000,75600.021362,0.000000,1799.998474
frame+packet,Lock,false,0.05,90,0.00,0.50,60,pitch60,20260920,500.000,500.000,9.651731,0.000000,7.350006,0.000000,324.000015,0.000000,1740.000153,0.000000,59999.992371,0.000000,1619.999695
frame+packet,Lock,false,0.05,90,0.00,0.50,60,pitch60,20260921,500.000,500.000,9.367512,0.000000,8.700005,0.000000,351.000023,0.000000,1860.000229,0.000000,72000.000000,0.000000,1740.002441
frame+packet,Lock,false,0.05,90,0.00,0.50,60,pitch60,20260922,500.000,500.000,8.999422,0.000000,9.450005,0.000000,333.000031,0.000000,1979.999924,0.000000,51600.013733,0.000000,1739.999390
frame+packet,Lock,false,0.05,90,0.00,0.50,60,diagonal,20260915,400.000,400.000,8.884620,0.000000,6.600002,843.000031,285.000019,13500.000000,1920.000076,313200.012207,66000.030518,300.000000,1740.000916
frame+packet,Lock,false,0.05,90,0.00,0.50,60,diagonal,20260916,450.000,450.000,8.969087,0.000000,6.750004,843.000031,279.000034,13500.000000,1920.000458,319200.012207,52800.010681,300.000000,1680.000305
frame+packet,Lock,false,0.05,90,0.00,0.50,60,diagonal,20260917,400.000,400.000,8.869285,0.000000,6.150002,843.000031,288.000011,13500.000000,1920.000076,327600.036621,62399.993896,540.002441,1739.999390
frame+packet,Lock,false,0.05,90,0.00,0.50,60,diagonal,20260918,450.000,450.000,8.690329,0.000000,8.550007,843.000031,321.000061,13500.000000,2280.000114,319200.012207,79200.042725,300.000000,1739.999390
frame+packet,Lock,false,0.05,90,0.00,0.50,60,diagonal,20260919,450.000,450.000,9.034232,0.000000,6.600002,843.000031,272.999992,13500.000000,1919.999695,330000.000000,58800.048828,660.000610,1739.999390
